 06NOV1991     64.9-0.8     38.8 9.0     96.5 0.1     96.7-0.3
 
 30APR2014     24.7-6.4     87.8 6.6     80.8 1.6     94.6-7.8
 
 12MAR1993     88.7-7.9     63.2 8.2     66.6-9.2     96.0-1.1
 
 29JUL1981     02.7 9.9     25.5 0.2     61.7 4.9     68.6 5.1
 
 30JAN1982     90.5 1.8     56.9 3.0     20.2-1.4     38.2-9.0
 
 21APR2017     98.9-2.1     85.7-5.3     61.1-4.5     27.1-6.5
 
 13SEP2013     18.4-6.3     96.0-9.9     01.0 1.7     65.2 8.8
 
 08OCT1991     69.8-5.1     63.8 3.7     55.1 6.5     84.9-3.1
 
 07OCT1993     57.6 0.5     11.2 6.7     04.2-8.8     29.8 8.4
 
 04MAY1990     26.3 4.7     58.9 2.4     26.5-9.3     11.6 6.5
 
 27AUG1973     01.9-0.3     58.2 1.1     72.1 1.1     82.4 0.2
 
