Interface: 185.209.196.142 --- 0x6
  Internet Address     Physical Address     Type                
  143.231.113.250      44-7a-7f-0d-fa-5d    dynamic             
  217.253.8.179        8e-b8-12-74-fa-c0    dynamic             
  97.87.245.129        b1-4e-c5-72-36-b9    dynamic             
  124.49.224.211       bd-a9-3e-e1-d2-ad    dynamic             
  56.255.123.166       bc-1b-b2-e3-78-5a    dynamic             
  119.213.207.203      cf-48-a5-4d-32-19    dynamic             
  177.161.237.56       e1-ea-12-19-f7-2a    dynamic             
  145.57.158.1         5d-04-bf-f6-84-88    dynamic             
  14.71.126.216        91-b6-e2-b9-da-92    dynamic             
  47.155.64.255        91-4d-9a-8f-18-2d    dynamic             
  147.141.172.254      41-77-31-32-77-06    static              
  208.51.233.7         8f-f0-a4-f9-c5-6f    static              
  226.249.65.33        e2-e8-c8-5f-0b-13    static              
  127.148.66.79        3c-29-8a-50-1e-be    static              
  166.65.67.121        3e-7a-55-3f-90-ff    static              
  40.197.23.48         11-b1-da-93-dd-7e    static              
  205.117.87.199       6a-f9-19-fd-82-08    static              
  172.97.221.83        c8-d8-82-a8-53-c7    static              
  235.86.49.38         a3-88-c7-17-1d-8b    static              
  164.3.145.117        f1-14-ac-44-07-4d    static              
