,,,,,,,,,,,,,,,,,
Vwza,Sn,Yroce Lhzqt Ajiyn,Sdhxu Ildfksq (Mf),Wvtw Rqf/X,Xcve Qv/F,Zmqs Vcssdxe (Mo),Irmvv Uty/H,Nrihv Fe/B,Qsqyf Ybxrcdc (Py),Mdr,Ofq,Ajw Bh,Syz Kn,Hnn Bhmwp,Ctky,Dsqv Roe,Epgz
8/5/6590 5:18,641,56,-,552,3.04,0,71,0,0,11,16,29(Qndk Vwyop 05G),24,14,A62Z,C56F-F42E-E8C8-F0B1,7944-C298-501E-EA44(MQMZAWZR34)
8/4/6332 9:60,982,95,-,156,0,0,109,0,57.2,7,16,84(Qndk Vwyop 98G),11,5,U46Z,19FD-208A-D5C8-882A,53C7-532A-88C7-71D8(MQMZAWZR37)
0/5/4911 2:67,255,26,-,12,0,530.5,950,851.73,16,10,11,34(Qndk Vwyop 34G),16,9,Y92R,7C3E-DF47-3499-5CC1,9A9D-369A-8F27-2F05(MQMZAWZR30)
5/8/2117 8:72,175,12,-,179,8.24,0,484,415.99,2,4,10,73(Qndk Vwyop 74G),2,8,B73S,78D6-6D9C-E9F0-2F76,0A4F-7A1F-0EB5-F828(MQMZAWZR33)
5/3/2877 4:54,74,33,-,915,8.28,0,742,62.61,17,19,4,66(Qndk Vwyop 79G),1,8,N20E,B489-BFEA-BAA0-AE51,E12E-46D3-93A7-7207(MQMZAWZR34)
,,,,,,,,,,,,,,,,,
Vwza,Sn,Yroce Lhzqt Ajiyn,Sdhxu Ildfksq (Mf),Wvtw Rqf/X,Xcve Qv/F,Zmqs Vcssdxe (Mo),Irmvv Uty/H,Nrihv Fe/B,Qsqyf Ybxrcdc (Py),Mdr,Ofq,Ajw Bh,Syz Kn,Hnn Bhmwp,Ctky,Dsqv Roe,Epgz
9/2/9918 4:86,935,89,-,375,0.67,0,95,426.08,2,10,3,49(Qndk Vwyop 86G),17,14,C90V,8758-4451-8322-46D6,0836-14A3-29F2-A50C(MQMZAWZR31)
8/2/7967 4:76,703,10,-,596,0,0,942,43.67,10,6,18,29(Qndk Vwyop 33G),22,5,A22E,7605-E8D0-10C6-3321,B806-26C5-5AFB-8C34(MQMZAWZR37)
6/1/9185 9:51,791,11,-,165,9.36,539.1,769,668.09,1,19,17,49(Qndk Vwyop 83G),4,0,K12Y,6434-772D-3B92-323B,749B-4C47-3691-84A7(MQMZAWZR30)
9/8/7222 1:38,213,89,-,496,0,521.5,481,228.94,17,23,3,50(Qndk Vwyop 29G),12,11,S15M,7909-A45E-0FDB-7564,E61B-1EB1-08AD-EF05(MQMZAWZR30)
,,,,,,,,,,,,,,,,,
Vwza,Sn,Yroce Lhzqt Ajiyn,Sdhxu Ildfksq (Mf),Wvtw Rqf/X,Xcve Qv/F,Zmqs Vcssdxe (Mo),Irmvv Uty/H,Nrihv Fe/B,Qsqyf Ybxrcdc (Py),Mdr,Ofq,Ajw Bh,Syz Kn,Hnn Bhmwp,Ctky,Dsqv Roe,Epgz
8/7/5141 3:33,750,28,-,13,0,0,491,590.93,8,13,6,07(Qndk Vwyop 25G),7,0,G43O,20AB-C643-EF6A-9465,51C7-0C1B-8981-7102(MQMZAWZR34)
1/2/7078 8:74,941,3,-,45,0,0,228,0,10,5,1,34(Qndk Vwyop 35G),2,7,H28B,D05C-E541-8B10-DCC6,90AB-85AE-C2BE-3E64(MQMZAWZR30)
2/0/5872 5:86,480,46,-,469,8.46,555.7,695,0,0,5,14,09(Qndk Vwyop 35G),8,6,J90Y,5DC3-5B15-C4EA-4DAD,B0CD-1F23-E5A0-BE24(MQMZAWZR34)
9/8/3274 8:71,501,29,-,253,2.09,0,362,119.50,12,25,8,83(Qndk Vwyop 63G),10,11,V14O,A151-9134-AFA3-20BC,1A6F-DEDB-1A68-42C6(MQMZAWZR39)
4/5/4140 1:36,760,43,-,632,0.64,665.4,247,0,10,3,15,79(Qndk Vwyop 23G),22,7,S09U,CC70-AFBA-9C78-1E39,EE68-71B2-EBAE-EC72(MQMZAWZR31)
,,,,,,,,,,,,,,,,,
